req_datetime,participant,idx_start,idx_stop,Tags,AccX_max,AccX_min,AccX_mean,AccX_std,AccY_max,AccY_min,AccY_mean,AccY_std,AccZ_max,AccZ_min,AccZ_mean,AccZ_std,Alt_max,Alt_min,Alt_mean,Lat_max,Lat_min,Lng_max,Lng_min,Spd_max,Spd_min,Spd_mean,Lght_max,Lght_min,Lght_mean,Lght_med,HR_max,HR_min,HR_mean,SCR_max,SCR_min,SCR_mean,SCR_std,T_max,T_min,T_mean
05082020_113414,4,40057,52733,"['Large curve R', 'Speed Bump']",3.7158010000000004,-2.0302830000000003,0.3319048066407311,1.2269798386678243,13.024457,7.680599000000001,10.003151497199447,0.5389331675387725,2.566584,-2.5091232999999997,-0.09703732055380386,0.6718243698992259,571,548,562.0979804354686,48.72899768,48.72216555,9.076207105,9.064314604,25.707031,12.096117999999999,20.624269369240814,3135.4553,33.45904,796.1060397465262,704.9898,116.12100000000001,46.092,69.63555112022483,2.9419999999999997,2.274,2.564675607447146,0.16988459415486457,35.038000000000004,34.093,34.5989830388134
05082020_114304,5,73251,75428,"['Large curve R', 'Speed Bump', 'Gallery', 'Traffic Jam']",1.5131354,-4.999093,-2.904293131860366,1.4133030306183034,13.694834,8.542512,9.981900889067457,0.66195225972647,4.501099,-1.4939818,0.7475892037106158,0.7386771862030569,462,454,458.93385392742306,48.7049007,48.70408816,9.167608834,9.166011476,16.245638,13.246688,14.620789318787656,1516.4031,504.0134,1011.0324587827221,1079.8401,116.811,81.377,100.12323197060356,7.385,6.162000000000001,6.62318144235185,0.3616213142053222,34.719,34.623000000000005,34.689178226917626
05082020_135021,1,92067,94369,['Large curve L'],0.59376204,-4.098873,-2.2291494542389154,1.2880361412268722,12.756307000000001,7.891288799999999,9.981021283449154,0.7257564465764814,1.7429788,-0.9576806999999999,0.5505707077927903,0.5177514211614024,452,448,450.16550825369245,48.70504201,48.70410129,9.167512602,9.166034436,16.046988,13.398222,14.54484782297999,418.6546,229.74025,336.23585188097434,335.6128,121.26100000000001,58.964,89.55509904431064,8.854,7.832000000000001,8.217117723718504,0.2814919889331983,33.672,33.589,33.629537358818375
05082020_135153,3,111832,120537,['Large curve R'],5.114014599999999,-1.4939818,0.5190970311362398,1.06849138471958,12.488156,8.197746,9.997611910511457,0.33397404008796666,5.4970870000000005,-3.5625722,-0.21566462593601382,1.0966327748019216,479,467,471.0322802986789,48.725249700000006,48.72402847,9.166862267,9.165154563,16.49997,1.177856,4.776829241115614,742.1173,383.8263,569.0465526479016,567.3877,110.98899999999999,57.42100000000001,75.85546927053186,5.484,4.362,4.7097596783458044,0.2574028981044458,36.371,36.15,36.25255037334897
05082020_135846,7,101010,103828,['Large curve L'],0.9768343,-4.0414124,-1.6812359655951006,1.0770526859852143,12.77546,8.504205,10.004663691270514,0.5254668012485728,0.9576806999999999,-1.340753,-0.007143522506742566,0.5264999687624127,463,456,460.7746628814762,48.70500372,48.70406576,9.167567092999999,9.165941424,15.893197,10.977413,12.270439418914345,1804.0848,476.91132000000005,917.4893554684226,815.87366,118.615,53.24100000000001,105.02658268275516,8.461,7.607,7.919599361249144,0.2170269438346202,29.273000000000003,28.881999999999998,29.100182398864444
05082020_140108,10,55714,58537,"['Large curve R', 'HighWay']",4.692635500000001,-0.17238252,2.4752670121824356,1.1880390111279449,11.87524,8.561666,10.063374998760223,0.4382911087696685,2.4516625,-2.183512,-0.19716077206128313,0.9459439573547472,565,552,557.6847325540206,48.72654691,48.72543005,9.066650113,9.064355007,22.361584,13.165595999999999,17.346646291533485,828.86017,356.0881,584.054804902584,609.1759599999999,96.914,83.934,92.7389376549786,6.577000000000001,5.522,5.981371590506569,0.2522337116079854,32.111,31.974,32.04829330499456
05082020_140921,9,82352,84408,"['Large curve R', 'HighWay', 'Traffic Jam']",1.091756,-1.0151415000000001,-0.17154408645573951,0.4127358450187436,11.3964,7.929596000000001,9.877106742461175,0.478709252361644,1.9536686,-0.7086836999999999,0.6156172630909543,0.3983990284401869,461,456,458.6284046692607,48.70682129,48.7060976,9.163016154,9.159044023,21.528856,19.29578,20.286676857490082,437.23657000000003,283.21146,372.02281532587426,371.89300000000003,92.955,78.87,81.84886721789856,3.832,3.66,3.730441147859909,0.03884683131173713,35.848,35.797,35.82032052529184
05082020_141730,8,77620,85175,"['Large curve L', 'Road sign #1', 'Steep descendent', 'Gallery', 'HighWay', 'Traffic Jam']",2.681506,-3.5434184,-0.41220705838027855,1.1744896953957562,13.139379000000002,7.240066000000001,10.042451302991434,0.7667561016960734,2.6431987,-2.6048915,0.05811239119762051,0.8172776635757573,464,446,454.371012574454,48.7074126,48.70408032,9.167533537,9.160899537999999,23.827726000000002,9.805881,16.443410303772353,1504.4768,54.591324,750.219705022358,672.3688,121.375,62.248999999999995,87.42810363996978,7.837000000000001,7.252999999999999,7.498836135009903,0.14366070547360194,28.461,28.144000000000002,28.314125347451917
05082020_142946,5,74401,75689,"['Large curve L', 'Road sign #2', 'Steep descendent', 'HighWay']",0.6895300999999999,-4.999093,-2.629919014130416,1.6079855082771295,11.971008,8.542512,10.081046503105673,0.7589398126292599,2.1643584,-2.4516625,0.4354324177670788,0.9309462675211754,460,450,456.5722049689441,48.70512039,48.70409882,9.167608834,9.166933832,17.99856,13.246688,15.17574525543482,1516.4031,413.72546,1198.4087268012408,1225.255,114.41799999999999,81.377,96.35798602484527,6.75,6.159,6.375108695652176,0.14727908707485565,34.71,34.607,34.66292080745341
05082020_143839,1,35232,36894,"['Large curve R', 'Road sign #2', 'Gallery', 'HighWay']",0.59376204,-1.4748282,-0.29676576577918024,0.40735921546090986,11.492168,7.3166804,9.976405137003693,0.5969321366906226,1.4748282,-1.1109096,0.04093479936522265,0.4178261808640043,548,535,541.5222623345367,48.72927192,48.72869209,9.078214714,9.074383622000001,25.641610999999997,23.399784,24.6643178652222,346.38192999999995,198.51668,292.890150902526,291.1474,94.383,81.055,88.5122250300848,7.593999999999999,7.152,7.434761732851965,0.10231978271058187,32.525999999999996,32.366,32.44426474127559
